N,a,x2,tau,k,x1,LAM1,LAM2
1,1,-5,NaN,NaN,NaN,NaN+0i,NaN+0i
2,1,-5,NaN,NaN,NaN,NaN+0i,NaN+0i
3,1,-4.9,56.9606500132127,1,0.0796065001321269,-1.08866916365579+0i,-56.5619286464637+0i
4,1,-4.9,NaN,NaN,NaN,NaN+0i,NaN+0i
5,1,-4.8,26.2662678793261,1,0.0453253575865214,-1.04894218592555+0i,-26.480084181008+0i
6,1,-4.8,NaN,NaN,NaN,NaN+0i,NaN+0i
7,1,-4.7,16.8289383258729,1,0.0348681497761879,-1.03745693577969+0i,-17.231801660009+0i
8,1,-4.7,NaN,NaN,NaN,NaN+0i,NaN+0i
9,1,-4.6,12.255900744723,1,0.0302360297889216,-1.03253618695147+0i,-12.7445748526668+0i
10,1,-4.6,NaN,NaN,NaN,NaN+0i,NaN+0i
11,1,-4.5,9.55901241567084,1,0.027950620783542,-1.03023070462244+0i,-10.0921771021407+0i
12,1,-4.5,NaN,NaN,NaN,NaN+0i,NaN+0i
13,1,-4.4,7.78125342097474,1,0.0268752052584847,-1.02928626939044+0i,-8.33784879429642+0i
14,1,-4.4,NaN,NaN,NaN,NaN+0i,NaN+0i
15,1,-4.3,6.52187396167786,1,0.0265311773174503,-1.02918990998827+0i,-7.08939464653697+0i
16,1,-4.3,NaN,NaN,NaN,NaN+0i,NaN+0i
17,1,-4.2,5.58355473677733,1,0.0266843789421861,-1.02970262654411+0i,-6.15370230918743+0i
18,1,-4.2,NaN,NaN,NaN,NaN+0i,NaN+0i
19,1,-4.1,4.8578747805124,1,0.0272087302461157,-1.03070841850514+0i,-5.4246352593466+0i
20,1,-4.1,NaN,NaN,NaN,NaN+0i,NaN+0i
21,1,-4,4.28032114662942,1,0.028032114662942,-1.03215597932212+0i,-4.83900395272388+0i
22,1,-4,NaN,NaN,NaN,NaN+0i,NaN+0i
23,1,-3.9,3.81010853459575,1,0.0291119388055324,-1.03403387915426+0i,-4.3568185284708+0i
24,1,-3.9,NaN,NaN,NaN,NaN+0i,NaN+0i
25,1,-3.8,3.4201915502166,1,0.0304229860259916,-1.03636009478958+0i,-3.95151469553951+0i
26,1,-3.8,NaN,NaN,NaN,NaN+0i,NaN+0i
27,1,-3.7,3.09193016766549,1,0.0319509217965134,-1.03917895027994+0i,-3.60473111145753+0i
28,1,-3.7,NaN,NaN,NaN,NaN+0i,NaN+0i
29,1,-3.6,2.81206156995145,1,0.0336886197932029,-1.04256304495768+0i,-3.30334111441696+0i
30,1,-3.6,NaN,NaN,NaN,NaN+0i,NaN+0i
31,1,-3.5,2.57089329534211,1,0.0356339943013158,-1.04661992246858+0i,-3.03767594239651+0i
32,1,-3.5,NaN,NaN,NaN,NaN+0i,NaN+0i
33,1,-3.4,2.36117928553048,1,0.0377886856848769,-1.05150492388757+0i,-2.80041052298744+0i
34,1,-3.4,NaN,NaN,NaN,NaN+0i,NaN+0i
35,1,-3.3,2.17739562415753,1,0.0401572561067795,-1.05744397561592+0i,-2.58583062625912+0i
36,1,-3.3,NaN,NaN,NaN,NaN+0i,NaN+0i
37,1,-3.2,2.01525948862965,1,0.0427467079533376,-1.06477457182941+0i,-2.38931981315381+0i
38,1,-3.2,NaN,NaN,NaN,NaN+0i,NaN+0i
39,1,-3.1,1.87140115552999,1,0.0455662195506988,-1.07402383707992+0i,-2.20695894125272+0i
40,1,-3.1,NaN,NaN,NaN,NaN+0i,NaN+0i
41,1,-3,1.74313519300453,1,0.0486270386009056,-1.08607163825415+0i,-2.03513744570179+0i
42,1,-3,NaN,NaN,NaN,NaN+0i,NaN+0i
43,1,-2.9,1.62829762314185,1,0.051942500859788,-1.10254217675862+0i,-1.87000036404454+0i
44,1,-2.9,NaN,NaN,NaN,NaN+0i,NaN+0i
45,1,-2.8,1.52512799429051,1,0.0555281587439115,-1.12697840470402+0i,-1.70615605109659+0i
46,1,-2.8,NaN,NaN,NaN,NaN+0i,NaN+0i
