
	 БЛОК ПРОВЕРКИ
p4=0.5 | x1=0.10 | x2=0.375 | p1=12.512 | |J|=0.589 | G=-1.404 | dx1dt=0.000 | dx2dt=0.000 
p4=0.5 | x1=0.20 | x2=1.000 | p1=22.400 | |J|=0.314 | G=0.319 | dx1dt=0.000 | dx2dt=0.000 
p4=0.5 | x1=0.30 | x2=2.250 | p1=27.063 | |J|=0.403 | G=3.409 | dx1dt=0.000 | dx2dt=0.000 
p4=0.5 | x1=0.40 | x2=6.000 | p1=40.259 | |J|=2.010 | G=9.799 | dx1dt=0.000 | dx2dt=0.000 
p4=0.5 | x1=0.50 | x2=6.000 | p1=40.259 | |J|=3.750 | G=16.619 | dx1dt=1.331 | dx2dt=0.750 
p4=1.0 | x1=0.10 | x2=0.167 | p1=10.617 | |J|=0.933 | G=-1.752 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.20 | x2=0.375 | p1=15.400 | |J|=0.035 | G=-0.374 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.30 | x2=0.643 | p1=13.680 | |J|=-0.634 | G=1.124 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.40 | x2=1.000 | p1=11.503 | |J|=-0.697 | G=2.228 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.50 | x2=1.500 | p1=10.417 | |J|=-0.306 | G=3.111 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.60 | x2=2.250 | p1=10.492 | |J|=0.515 | G=3.937 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.70 | x2=3.500 | p1=11.984 | |J|=1.949 | G=4.870 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.80 | x2=6.000 | p1=16.221 | |J|=4.703 | G=6.287 | dx1dt=0.000 | dx2dt=0.000 
p4=1.0 | x1=0.90 | x2=13.500 | p1=30.532 | |J|=12.493 | G=9.970 | dx1dt=-0.000 | dx2dt=0.000 
p4=1.0 | x1=1.00 | x2=13.500 | p1=30.532 | |J|=15.000 | G=8.170 | dx1dt=0.919 | dx2dt=1.500 
p4=1.5 | x1=0.10 | x2=0.107 | p1=10.075 | |J|=1.293 | G=-2.209 | dx1dt=0.000 | dx2dt=0.000 
p4=1.5 | x1=0.20 | x2=0.231 | p1=13.785 | |J|=-0.149 | G=-0.919 | dx1dt=0.000 | dx2dt=0.000 
p4=1.5 | x1=0.30 | x2=0.375 | p1=11.450 | |J|=-1.270 | G=0.327 | dx1dt=0.000 | dx2dt=0.000 
p4=1.5 | x1=0.40 | x2=0.545 | p1=8.888 | |J|=-1.586 | G=1.085 | dx1dt=0.000 | dx2dt=0.000 
p4=1.5 | x1=0.50 | x2=0.750 | p1=7.292 | |J|=-1.403 | G=1.528 | dx1dt=0.000 | dx2dt=0.000 
p4=1.5 | x1=0.60 | x2=1.000 | p1=6.457 | |J|=-0.902 | G=1.769 | dx1dt=0.000 | dx2dt=0.000 
